,RollType,strength,dexterity,constituion,intellegence,wisdom,charisma,str mod,dex mod,con mod,int mod,wis mod,char mod
0,3D6,12,8,7,16,17,12,1,-1,-2,3,3,1
1,3D6,11,9,17,11,4,10,0,-1,3,0,-3,0
2,3D6,6,10,8,9,8,9,-2,0,-1,-1,-1,-1
3,3D6,8,9,14,12,16,13,-1,-1,2,1,3,1
4,3D6,11,11,11,13,11,11,0,0,0,1,0,0
5,3D6,8,12,6,10,10,9,-1,1,-2,0,0,-1
6,3D6,9,9,11,14,14,16,-1,-1,0,2,2,3
7,3D6,10,9,12,10,8,13,0,-1,1,0,-1,1
8,3D6,15,14,7,6,9,10,2,2,-2,-2,-1,0
9,3D6,9,11,12,16,13,7,-1,0,1,3,1,-2
10,3D6,10,7,8,10,15,9,0,-2,-1,0,2,-1
11,3D6,10,15,8,11,9,9,0,2,-1,0,-1,-1
12,3D6,11,9,10,9,9,11,0,-1,0,-1,-1,0
13,3D6,10,10,10,7,11,7,0,0,0,-2,0,-2
14,3D6,14,10,8,9,9,13,2,0,-1,-1,-1,1
15,3D6,9,9,10,12,12,3,-1,-1,0,1,1,-4
16,3D6,3,10,8,11,14,9,-4,0,-1,0,2,-1
17,3D6,8,14,9,6,10,6,-1,2,-1,-2,0,-2
18,3D6,13,8,6,12,12,12,1,-1,-2,1,1,1
19,3D6,4,17,5,11,7,15,-3,3,-3,0,-2,2
20,3D6,13,7,8,8,8,14,1,-2,-1,-1,-1,2
21,3D6,11,11,17,11,10,9,0,0,3,0,0,-1
22,3D6,11,14,10,15,14,17,0,2,0,2,2,3
23,3D6,9,7,9,7,10,10,-1,-2,-1,-2,0,0
24,3D6,12,11,11,12,13,9,1,0,0,1,1,-1
25,3D6,16,13,13,5,10,5,3,1,1,-3,0,-3
26,3D6,10,9,9,10,15,6,0,-1,-1,0,2,-2
27,3D6,9,16,10,9,8,10,-1,3,0,-1,-1,0
28,3D6,16,6,12,11,13,12,3,-2,1,0,1,1
29,3D6,14,8,16,16,9,13,2,-1,3,3,-1,1
30,3D6,14,11,12,9,5,17,2,0,1,-1,-3,3
31,3D6,16,8,6,13,11,13,3,-1,-2,1,0,1
32,3D6,9,7,9,8,11,11,-1,-2,-1,-1,0,0
33,3D6,15,5,9,9,14,7,2,-3,-1,-1,2,-2
