,roll_type,strength,dexterity,constitution,intellegence,wisdom,charisma,str mod,dex mod,con mod,int mod,wis mod,char mod
0,3D6,14,15,9,7,6,9,2,2,-1,-2,-2,-1
1,3D6,13,7,15,8,15,7,1,-2,2,-1,2,-2
2,3D6,8,4,11,12,10,5,-1,-3,0,1,0,-3
3,3D6,10,8,12,8,15,15,0,-1,1,-1,2,2
4,3D6,11,11,12,9,12,8,0,0,1,-1,1,-1
5,3D6,8,8,5,10,16,15,-1,-1,-3,0,3,2
6,3D6,9,10,5,12,7,13,-1,0,-3,1,-2,1
7,3D6,10,5,16,4,17,7,0,-3,3,-3,3,-2
8,3D6,8,7,6,6,11,11,-1,-2,-2,-2,0,0
9,3D6,7,11,8,10,11,8,-2,0,-1,0,0,-1
10,3D6,8,12,9,10,9,12,-1,1,-1,0,-1,1
11,3D6,13,9,11,3,10,15,1,-1,0,-4,0,2
12,3D6,11,10,9,14,11,6,0,0,-1,2,0,-2
13,3D6,12,7,11,8,6,10,1,-2,0,-1,-2,0
14,3D6,7,10,9,12,8,11,-2,0,-1,1,-1,0
15,3D6,10,15,14,17,9,13,0,2,2,3,-1,1
16,3D6,11,16,8,12,13,18,0,3,-1,1,1,4
17,3D6,17,10,12,9,12,13,3,0,1,-1,1,1
18,3D6,10,6,12,8,11,6,0,-2,1,-1,0,-2
19,3D6,6,8,7,12,17,13,-2,-1,-2,1,3,1
20,3D6,11,14,10,15,6,6,0,2,0,2,-2,-2
21,3D6,10,8,12,10,11,12,0,-1,1,0,0,1
22,3D6,8,13,12,8,8,10,-1,1,1,-1,-1,0
23,3D6,13,8,11,8,11,13,1,-1,0,-1,0,1
24,3D6,12,13,10,11,16,11,1,1,0,0,3,0
25,3D6,7,7,16,11,13,8,-2,-2,3,0,1,-1
26,3D6,10,5,9,12,13,10,0,-3,-1,1,1,0
27,3D6,12,6,13,9,8,14,1,-2,1,-1,-1,2
28,3D6,8,16,11,7,13,8,-1,3,0,-2,1,-1
29,3D6,11,6,5,7,16,13,0,-2,-3,-2,3,1
30,3D6,14,12,5,11,11,9,2,1,-3,0,0,-1
31,3D6,7,6,12,4,8,10,-2,-2,1,-3,-1,0
32,3D6,12,10,6,12,11,3,1,0,-2,1,0,-4
33,3D6,7,10,12,11,8,8,-2,0,1,0,-1,-1
34,3D6,13,11,10,11,8,12,1,0,0,0,-1,1
35,3D6,8,17,8,9,9,12,-1,3,-1,-1,-1,1
36,3D6,9,12,9,11,5,15,-1,1,-1,0,-3,2
37,3D6,12,12,7,6,17,15,1,1,-2,-2,3,2
38,3D6,11,9,10,7,16,16,0,-1,0,-2,3,3
39,3D6,5,10,7,9,9,10,-3,0,-2,-1,-1,0
40,3D6,7,9,9,11,6,14,-2,-1,-1,0,-2,2
41,3D6,11,15,6,8,16,10,0,2,-2,-1,3,0
42,3D6,10,10,4,9,7,11,0,0,-3,-1,-2,0
43,3D6,8,17,8,12,10,16,-1,3,-1,1,0,3
44,3D6,8,13,13,5,13,7,-1,1,1,-3,1,-2
45,3D6,9,9,8,4,6,8,-1,-1,-1,-3,-2,-1
46,3D6,11,12,6,9,12,12,0,1,-2,-1,1,1
47,3D6,13,18,16,6,8,7,1,4,3,-2,-1,-2
48,3D6,11,8,7,13,9,6,0,-1,-2,1,-1,-2
49,3D6,15,12,10,12,8,9,2,1,0,1,-1,-1
50,3D6,14,8,8,14,15,16,2,-1,-1,2,2,3
51,3D6,10,7,5,10,4,5,0,-2,-3,0,-3,-3
52,3D6,9,11,13,8,5,9,-1,0,1,-1,-3,-1
53,3D6,11,10,8,11,9,14,0,0,-1,0,-1,2
54,3D6,7,17,15,14,11,12,-2,3,2,2,0,1
55,3D6,13,12,14,12,10,7,1,1,2,1,0,-2
56,3D6,13,15,16,14,7,15,1,2,3,2,-2,2
57,3D6,10,15,11,12,11,10,0,2,0,1,0,0
58,3D6,11,12,15,12,13,10,0,1,2,1,1,0
59,3D6,11,6,8,9,13,14,0,-2,-1,-1,1,2
60,3D6,10,11,15,9,7,7,0,0,2,-1,-2,-2
61,3D6,18,9,6,9,6,10,4,-1,-2,-1,-2,0
62,3D6,13,15,8,11,13,9,1,2,-1,0,1,-1
63,3D6,13,14,11,10,5,5,1,2,0,0,-3,-3
64,3D6,10,9,14,4,9,11,0,-1,2,-3,-1,0
65,3D6,11,11,13,9,10,7,0,0,1,-1,0,-2
66,3D6,14,13,10,8,6,11,2,1,0,-1,-2,0
67,3D6,13,11,5,7,12,11,1,0,-3,-2,1,0
68,3D6,8,9,7,12,13,13,-1,-1,-2,1,1,1
69,3D6,10,15,13,9,12,9,0,2,1,-1,1,-1
70,3D6,13,14,12,12,9,12,1,2,1,1,-1,1
71,3D6,5,15,11,11,9,6,-3,2,0,0,-1,-2
72,3D6,12,12,6,15,15,13,1,1,-2,2,2,1
73,3D6,10,14,7,12,12,17,0,2,-2,1,1,3
74,3D6,5,7,10,11,11,9,-3,-2,0,0,0,-1
75,3D6,10,8,8,12,9,8,0,-1,-1,1,-1,-1
76,3D6,10,14,11,7,15,10,0,2,0,-2,2,0
77,3D6,12,12,5,9,13,13,1,1,-3,-1,1,1
78,3D6,10,13,13,4,10,9,0,1,1,-3,0,-1
79,3D6,12,12,5,6,10,9,1,1,-3,-2,0,-1
80,3D6,9,13,6,11,12,6,-1,1,-2,0,1,-2
81,3D6,14,10,12,12,11,3,2,0,1,1,0,-4
82,3D6,8,13,17,5,12,12,-1,1,3,-3,1,1
83,3D6,6,7,14,14,13,13,-2,-2,2,2,1,1
84,3D6,14,16,12,7,4,10,2,3,1,-2,-3,0
85,3D6,15,14,13,17,8,12,2,2,1,3,-1,1
86,3D6,6,9,13,11,8,12,-2,-1,1,0,-1,1
87,3D6,10,17,13,12,11,10,0,3,1,1,0,0
88,3D6,13,9,15,6,6,5,1,-1,2,-2,-2,-3
89,3D6,13,13,11,9,6,12,1,1,0,-1,-2,1
90,3D6,14,8,9,5,14,12,2,-1,-1,-3,2,1
91,3D6,9,10,14,14,15,16,-1,0,2,2,2,3
92,3D6,9,13,11,11,13,10,-1,1,0,0,1,0
93,3D6,9,6,11,8,10,7,-1,-2,0,-1,0,-2
94,3D6,9,13,13,10,13,12,-1,1,1,0,1,1
95,3D6,10,13,9,8,15,13,0,1,-1,-1,2,1
96,3D6,13,12,12,11,14,14,1,1,1,0,2,2
97,3D6,8,11,15,12,14,7,-1,0,2,1,2,-2
98,3D6,8,14,10,12,12,9,-1,2,0,1,1,-1
99,3D6,7,6,13,10,9,14,-2,-2,1,0,-1,2
100,3D6,12,11,10,11,10,10,1,0,0,0,0,0
101,3D6,4,9,7,11,11,14,-3,-1,-2,0,0,2
102,3D6,6,8,12,6,5,6,-2,-1,1,-2,-3,-2
103,3D6,8,11,13,10,12,5,-1,0,1,0,1,-3
104,3D6,10,11,9,10,12,8,0,0,-1,0,1,-1
105,3D6,14,12,15,12,10,11,2,1,2,1,0,0
106,3D6,14,13,13,6,12,9,2,1,1,-2,1,-1
107,3D6,11,11,10,12,14,12,0,0,0,1,2,1
108,3D6,12,13,5,14,13,9,1,1,-3,2,1,-1
109,3D6,11,10,8,11,10,7,0,0,-1,0,0,-2
110,3D6,9,14,14,8,11,12,-1,2,2,-1,0,1
111,3D6,6,10,8,5,8,9,-2,0,-1,-3,-1,-1
112,3D6,15,10,12,9,13,13,2,0,1,-1,1,1
113,3D6,12,13,12,6,12,15,1,1,1,-2,1,2
114,3D6,8,10,10,11,8,9,-1,0,0,0,-1,-1
115,3D6,7,13,10,7,6,6,-2,1,0,-2,-2,-2
116,3D6,13,9,8,13,10,4,1,-1,-1,1,0,-3
117,3D6,13,11,10,14,7,10,1,0,0,2,-2,0
118,3D6,10,11,11,10,13,10,0,0,0,0,1,0
119,3D6,17,10,11,10,15,6,3,0,0,0,2,-2
120,3D6,8,8,12,11,12,8,-1,-1,1,0,1,-1
121,3D6,8,7,13,15,6,11,-1,-2,1,2,-2,0
122,3D6,9,11,10,14,10,9,-1,0,0,2,0,-1
123,3D6,10,13,10,12,10,13,0,1,0,1,0,1
124,3D6,10,9,7,16,10,3,0,-1,-2,3,0,-4
125,3D6,10,7,8,11,12,9,0,-2,-1,0,1,-1
126,3D6,13,6,11,16,13,10,1,-2,0,3,1,0
127,3D6,11,6,9,11,12,10,0,-2,-1,0,1,0
128,3D6,11,5,12,5,16,12,0,-3,1,-3,3,1
129,3D6,11,6,9,7,12,8,0,-2,-1,-2,1,-1
130,3D6,4,13,8,14,14,14,-3,1,-1,2,2,2
131,3D6,11,11,9,7,7,14,0,0,-1,-2,-2,2
132,3D6,10,8,7,9,6,14,0,-1,-2,-1,-2,2
133,3D6,6,6,7,12,13,11,-2,-2,-2,1,1,0
134,3D6,8,12,11,9,11,15,-1,1,0,-1,0,2
135,3D6,11,10,11,5,5,8,0,0,0,-3,-3,-1
136,3D6,12,14,11,13,6,6,1,2,0,1,-2,-2
137,3D6,10,11,13,9,11,14,0,0,1,-1,0,2
138,3D6,9,10,13,14,13,7,-1,0,1,2,1,-2
139,3D6,8,9,7,10,16,5,-1,-1,-2,0,3,-3
140,3D6,7,11,8,12,10,10,-2,0,-1,1,0,0
141,3D6,8,10,4,6,17,6,-1,0,-3,-2,3,-2
142,3D6,6,8,13,4,15,10,-2,-1,1,-3,2,0
143,3D6,9,12,12,14,9,12,-1,1,1,2,-1,1
144,3D6,12,10,11,13,12,15,1,0,0,1,1,2
145,3D6,11,8,11,10,12,11,0,-1,0,0,1,0
146,3D6,12,15,11,15,9,7,1,2,0,2,-1,-2
147,3D6,6,7,13,11,10,13,-2,-2,1,0,0,1
148,3D6,7,11,16,11,10,9,-2,0,3,0,0,-1
149,3D6,14,11,9,7,6,10,2,0,-1,-2,-2,0
150,3D6,8,9,11,5,9,9,-1,-1,0,-3,-1,-1
151,3D6,12,17,11,10,12,8,1,3,0,0,1,-1
152,3D6,8,7,13,13,4,12,-1,-2,1,1,-3,1
153,3D6,12,13,14,9,10,7,1,1,2,-1,0,-2
154,3D6,7,9,7,14,10,7,-2,-1,-2,2,0,-2
155,3D6,11,10,5,5,11,12,0,0,-3,-3,0,1
156,3D6,11,10,4,15,13,8,0,0,-3,2,1,-1
157,3D6,13,12,10,11,7,7,1,1,0,0,-2,-2
158,3D6,12,15,11,13,13,8,1,2,0,1,1,-1
159,3D6,9,8,4,11,14,11,-1,-1,-3,0,2,0
160,3D6,8,5,8,9,9,9,-1,-3,-1,-1,-1,-1
161,3D6,13,10,6,15,12,11,1,0,-2,2,1,0
162,3D6,14,7,3,18,14,17,2,-2,-4,4,2,3
163,3D6,5,10,9,13,16,9,-3,0,-1,1,3,-1
164,3D6,12,7,13,11,12,11,1,-2,1,0,1,0
165,3D6,11,11,9,12,15,15,0,0,-1,1,2,2
166,3D6,9,7,12,11,9,12,-1,-2,1,0,-1,1
167,3D6,5,10,17,14,7,10,-3,0,3,2,-2,0
168,3D6,11,5,7,6,13,12,0,-3,-2,-2,1,1
169,3D6,9,7,16,12,10,15,-1,-2,3,1,0,2
170,3D6,11,9,7,14,12,9,0,-1,-2,2,1,-1
171,3D6,10,9,11,9,12,7,0,-1,0,-1,1,-2
172,3D6,10,11,12,8,16,13,0,0,1,-1,3,1
173,3D6,9,17,9,5,7,9,-1,3,-1,-3,-2,-1
174,3D6,10,9,8,10,10,3,0,-1,-1,0,0,-4
175,3D6,8,11,15,12,10,18,-1,0,2,1,0,4
176,3D6,12,3,15,8,10,11,1,-4,2,-1,0,0
177,3D6,6,10,12,12,7,12,-2,0,1,1,-2,1
178,3D6,6,10,4,7,15,8,-2,0,-3,-2,2,-1
179,3D6,17,10,13,13,11,15,3,0,1,1,0,2
180,3D6,7,13,11,9,8,6,-2,1,0,-1,-1,-2
181,3D6,8,12,10,10,7,4,-1,1,0,0,-2,-3
182,3D6,8,6,7,6,9,12,-1,-2,-2,-2,-1,1
183,3D6,12,5,12,10,13,7,1,-3,1,0,1,-2
184,3D6,8,7,10,10,13,7,-1,-2,0,0,1,-2
185,3D6,10,10,10,11,10,12,0,0,0,0,0,1
186,3D6,9,6,9,7,9,11,-1,-2,-1,-2,-1,0
187,3D6,15,10,11,14,9,3,2,0,0,2,-1,-4
188,3D6,10,13,11,11,9,7,0,1,0,0,-1,-2
189,3D6,10,13,9,9,12,14,0,1,-1,-1,1,2
